customer_id,signup_date,last_activity_date,age,gender,country,plan,monthly_price,contract_type,payment_method,avg_watch_minutes_per_day,sessions_per_week,devices,fav_genre,num_profiles,watched_in_last_30_days,hours_last_30_days,num_support_tickets,num_complaints,acq_channel,first_campaign,internet_speed_mbps,app_crash_rate_per_week,tenure_days,tenure_months,rfm_recency_days,frequency_per_month,avg_monthly_spend,total_revenue_to_date,churn
CUST100010,2023-10-17,2025-02-02,58,Male,USA,Basic,199.0,Quarterly,Paypal,25.9,8.0,Web,Documentary,1,1,12.6,0,0,Paid Social,SummerSale2023,20.6,0.059,777,25.9,303,34.8,199.0,5154.1,No
CUST100011,2024-02-25,2024-11-22,52,Other,India,Premium,799.0,Yearly,Card,71.0,7.2,Mobile,Drama,1,1,1.5,1,1,Paid Social,Festive2021,31.7,0.296,646,21.5,375,31.3,799.0,17205.13,Yes
CUST100012,2023-01-21,2023-05-23,63,Female,USA,Standard,499.0,Monthly,GooglePay,35.7,6.1,Mobile,Action,1,1,1.3,2,1,Email,Direct,19.6,0.423,1046,34.9,924,26.5,499.0,17398.47,No
CUST100013,2020-06-27,2020-09-27,22,Male,India,Basic,199.0,Monthly,NetBanking,34.7,6.6,Tablet,Drama,2,1,0.6,0,0,Paid Social,SummerSale2023,32.0,0.217,1984,66.1,1892,28.7,199.0,13160.53,No
CUST100014,2023-04-24,2023-10-02,74,Male,Philippines,Basic,199.0,Monthly,GooglePay,36.2,0.0,Smart TV,Drama,4,0,0.0,0,0,Affiliate,Direct,12.5,0.098,953,31.8,792,0.0,199.0,6321.57,No
CUST100015,2022-05-14,2023-03-21,20,Male,India,Basic,199.0,Monthly,NetBanking,21.4,8.7,Smart TV,Drama,2,1,3.3,1,1,Search Ads,RetentionPush2024,35.8,0.088,1298,43.3,987,37.8,199.0,8610.07,Yes
CUST100016,2020-03-06,2021-11-13,26,Male,Philippines,Premium,799.0,Monthly,GooglePay,15.1,13.5,Tablet,Horror,2,1,2.1,0,0,Paid Social,RetentionPush2024,32.9,0.089,2097,69.9,1480,58.7,799.0,55850.1,Yes
CUST100017,2020-03-02,2020-04-12,30,Female,USA,Premium,799.0,Monthly,Card,27.5,4.5,Web,Sci-Fi,1,1,1.1,1,0,Search Ads,Launch2020,41.7,0.135,2101,70.0,2060,19.6,799.0,55956.63,No
CUST100018,2020-07-10,2021-02-15,18,Male,South Africa,Basic,199.0,Quarterly,UPI,47.7,2.6,Mobile,Horror,1,0,0.0,0,0,Organic,NewSeries2022,86.0,0.259,1971,65.7,1751,11.3,199.0,13074.3,No
CUST100019,2021-03-23,2022-02-21,73,Male,UK,Standard,499.0,Yearly,Paypal,2.0,11.7,Smart TV,Sci-Fi,1,1,16.8,0,0,Affiliate,RetentionPush2024,54.9,0.036,1715,57.2,1380,50.8,499.0,28526.17,No
CUST100020,2021-04-21,2021-09-19,20,Female,Philippines,Basic,199.0,Monthly,Paypal,5.0,8.1,Smart TV,Romance,3,1,23.4,0,0,Search Ads,Direct,29.7,0.004,1686,56.2,1535,35.2,199.0,11183.8,No
CUST100021,2022-10-31,2023-02-01,38,Male,India,Free Trial,0.0,Monthly,GooglePay,22.8,9.7,Web,Drama,1,1,10.9,0,0,Paid Social,NewSeries2022,75.9,0.016,1128,37.6,1035,42.1,0.0,0.0,No
CUST100022,2023-05-17,2024-01-26,68,Male,Germany,Free Trial,0.0,Yearly,Card,0.9,8.5,Mobile,Documentary,2,1,5.2,0,0,Referral,SummerSale2023,20.4,0.219,930,31.0,676,36.9,0.0,0.0,Yes
CUST100023,2020-02-24,2021-02-22,52,Male,Philippines,Premium,799.0,Quarterly,Paypal,6.7,4.2,Mobile,Romance,2,1,7.6,1,0,Paid Social,NewSeries2022,54.8,0.378,2108,70.3,1744,18.2,799.0,56143.07,Yes
CUST100024,2023-02-23,2024-04-03,24,Male,India,Free Trial,0.0,Yearly,GooglePay,51.2,9.7,Mobile,Documentary,2,1,12.1,0,0,Paid Social,SummerSale2023,61.3,0.104,1013,33.8,608,42.1,0.0,0.0,Yes
CUST100025,2021-02-11,2022-07-21,30,Female,India,Premium,799.0,Monthly,ApplePay,26.2,5.5,Mobile,Documentary,1,1,15.0,0,0,Paid Social,Festive2021,0.5,0.082,1755,58.5,1230,23.9,799.0,46741.5,No
CUST100026,2024-01-06,2024-02-25,18,Male,USA,Premium,799.0,Monthly,GooglePay,18.1,4.5,Mobile,Documentary,1,1,12.4,0,0,Email,Direct,39.8,0.004,696,23.2,646,19.6,799.0,18536.8,Yes
CUST100027,2023-08-23,2025-07-16,44,Female,Philippines,Standard,499.0,Monthly,NetBanking,37.8,8.9,Mobile,Action,2,0,0.0,0,0,Referral,Launch2020,29.5,0.013,832,27.7,139,38.7,499.0,13838.93,Yes
CUST100028,2023-12-07,2024-10-08,21,Female,UK,Standard,499.0,Quarterly,Paypal,37.3,7.5,Smart TV,Comedy,3,0,0.0,0,0,Email,NewSeries2022,54.4,0.281,726,24.2,420,32.6,499.0,12075.8,Yes
CUST100029,2023-01-21,2023-10-14,32,Male,UK,Basic,199.0,Monthly,Paypal,58.3,8.2,Mobile,Kids,1,1,16.7,0,0,Paid Social,NewSeries2022,34.6,0.019,1046,34.9,780,35.6,199.0,6938.47,No
CUST100030,2022-05-09,2022-11-03,41,Female,India,Standard,499.0,Monthly,ApplePay,0.6,8.1,Mobile,Drama,1,1,20.6,0,0,Paid Social,Direct,27.3,0.352,1303,43.4,1125,35.2,499.0,21673.23,No
CUST100031,2021-03-27,2021-04-27,36,Male,India,Premium,799.0,Monthly,UPI,16.5,9.5,Mobile,Drama,1,1,7.4,1,1,Organic,NewSeries2022,5.6,0.304,1711,57.0,1680,41.3,799.0,45569.63,No
CUST100032,2022-07-08,2023-08-26,23,Male,Brazil,Basic,199.0,Monthly,GooglePay,23.1,10.9,Smart TV,Sci-Fi,1,0,0.0,0,0,Organic,Launch2020,60.9,0.342,1243,41.4,829,47.4,199.0,8245.23,Yes
CUST100033,2023-04-21,2024-07-27,36,Female,India,Standard,499.0,Quarterly,UPI,42.8,7.6,Mobile,Action,4,1,20.3,0,0,Organic,Festive2021,25.4,0.232,956,31.9,493,33.0,499.0,15901.47,No
CUST100034,2021-07-23,2023-02-12,72,Other,Canada,Standard,499.0,Monthly,GooglePay,92.8,11.3,Mobile,Horror,2,1,7.5,0,0,Email,Launch2020,10.7,0.004,1593,53.1,1024,49.1,499.0,26496.9,No
CUST100035,2024-07-15,2025-11-30,26,Female,Philippines,Basic,199.0,Quarterly,ApplePay,46.7,10.4,Mobile,Romance,1,1,11.2,0,0,Paid Social,RetentionPush2024,28.6,0.117,505,16.8,2,45.2,199.0,3349.83,No
CUST100036,2024-11-15,2025-07-28,53,Male,India,Standard,499.0,Monthly,UPI,29.7,9.2,Smart TV,Comedy,2,1,6.7,0,0,Organic,Launch2020,40.9,0.034,382,12.7,127,40.0,499.0,6353.93,No
CUST100037,2020-01-14,2020-04-19,23,Male,Canada,Free Trial,0.0,Monthly,Card,10.7,5.3,Mobile,Horror,1,1,6.1,0,0,Paid Social,RetentionPush2024,31.5,0.083,2149,71.6,2053,23.0,0.0,0.0,No
CUST100038,2024-04-03,2025-07-20,57,Female,India,Premium,799.0,Monthly,ApplePay,8.2,9.9,Mobile,Drama,1,1,13.3,0,0,Referral,NewSeries2022,3.0,0.163,608,20.3,135,43.0,799.0,16193.07,No
CUST100039,2024-07-08,2024-10-20,39,Male,Canada,Premium,799.0,Monthly,GooglePay,53.1,8.3,Web,Horror,1,1,13.1,0,0,Search Ads,Festive2021,39.4,0.263,512,17.1,408,36.1,799.0,13636.27,No
CUST100040,2020-11-22,2021-04-14,50,Male,India,Standard,499.0,Monthly,NetBanking,19.1,3.0,Mobile,Romance,2,1,4.4,0,0,Email,SummerSale2023,5.2,0.053,1836,61.2,1693,13.0,499.0,30538.8,Yes
CUST100041,2023-11-30,2024-04-02,70,Female,Germany,Standard,499.0,Quarterly,NetBanking,27.9,3.4,Tablet,Sci-Fi,3,0,0.0,0,0,Affiliate,Festive2021,17.5,0.082,733,24.4,609,14.8,499.0,12192.23,No
CUST100042,2022-05-15,2022-05-27,29,Male,India,Basic,199.0,Yearly,NetBanking,68.1,3.4,Web,Horror,1,1,1.7,0,0,Paid Social,RetentionPush2024,17.9,0.047,1297,43.2,1285,14.8,199.0,8603.43,Yes
CUST100043,2021-11-27,2022-01-29,70,Female,USA,Free Trial,0.0,Monthly,GooglePay,0.7,3.4,Mobile,Action,1,1,1.4,0,0,Organic,Festive2021,75.3,0.83,1466,48.9,1403,14.8,0.0,0.0,No
CUST100044,2021-07-23,2022-03-07,29,Male,UK,Basic,199.0,Monthly,Paypal,40.4,3.7,Smart TV,Horror,1,1,20.4,1,1,Referral,Direct,47.0,0.53,1593,53.1,1366,16.1,199.0,10566.9,No
CUST100045,2020-11-14,2021-03-27,25,Female,India,Basic,199.0,Yearly,ApplePay,16.9,9.5,Mobile,Documentary,1,1,4.0,0,0,Paid Social,NewSeries2022,39.6,0.212,1844,61.5,1711,41.3,199.0,12231.87,No
CUST100046,2021-03-16,2021-10-04,27,Male,Germany,Premium,799.0,Monthly,ApplePay,67.7,7.2,Mobile,Drama,1,1,13.6,0,0,Referral,Launch2020,47.4,0.348,1722,57.4,1520,31.3,799.0,45862.6,No
CUST100047,2024-04-12,2025-05-27,53,Female,India,Basic,199.0,Monthly,UPI,16.2,9.6,Web,Horror,1,1,4.1,0,0,Paid Social,RetentionPush2024,58.6,0.254,599,20.0,189,41.7,199.0,3973.37,Yes
CUST100048,2021-11-20,2022-12-06,59,Female,Canada,Standard,499.0,Monthly,ApplePay,48.4,3.6,Mobile,Sci-Fi,1,0,0.0,0,0,Paid Social,RetentionPush2024,0.5,0.378,1473,49.1,1092,15.6,499.0,24500.9,Yes
CUST100049,2020-07-28,2022-05-04,70,Male,India,Basic,199.0,Quarterly,ApplePay,1.2,2.4,Mobile,Drama,2,1,49.7,0,0,Search Ads,RetentionPush2024,33.6,0.55,1953,65.1,1308,10.4,199.0,12954.9,No
CUST100050,2020-07-08,2022-04-29,61,Other,Australia,Basic,199.0,Monthly,UPI,66.1,4.4,Tablet,Sci-Fi,1,0,0.0,0,0,Organic,NewSeries2022,27.3,0.533,1973,65.8,1313,19.1,199.0,13087.57,No
CUST100051,2022-02-17,2022-05-14,49,Female,India,Basic,199.0,Monthly,ApplePay,53.4,9.1,Mobile,Kids,1,1,12.7,0,0,Organic,Festive2021,22.8,0.171,1384,46.1,1298,39.5,199.0,9180.53,No
CUST100052,2020-07-17,2022-03-05,56,Female,USA,Basic,199.0,Monthly,ApplePay,23.9,9.2,Mobile,Drama,1,0,0.0,0,0,Affiliate,RetentionPush2024,18.1,0.669,1964,65.5,1368,40.0,199.0,13027.87,No
CUST100053,2022-01-05,2023-08-28,25,Female,India,Premium,799.0,Monthly,Card,42.9,6.3,Mobile,Documentary,1,1,1.0,0,0,Email,SummerSale2023,0.5,0.105,1427,47.6,827,27.4,799.0,38005.77,Yes
CUST100054,2024-10-01,2025-06-23,73,Female,Germany,Premium,799.0,Monthly,GooglePay,54.1,8.0,Smart TV,Romance,1,0,0.0,0,0,Organic,RetentionPush2024,26.2,0.043,427,14.2,162,34.8,799.0,11372.43,Yes
CUST100055,2021-12-05,2022-02-19,32,Female,India,Standard,499.0,Quarterly,UPI,38.1,5.5,Mobile,Documentary,3,1,5.6,0,0,Referral,Festive2021,41.3,0.053,1458,48.6,1382,23.9,499.0,24251.4,No
CUST100056,2023-05-21,2023-06-12,32,Male,Mexico,Free Trial,0.0,Quarterly,Card,27.2,4.8,Smart TV,Romance,1,0,0.0,0,0,Organic,Festive2021,38.7,0.123,926,30.9,904,20.9,0.0,0.0,No
CUST100057,2021-06-25,2021-08-30,18,Male,Philippines,Basic,199.0,Monthly,Paypal,33.0,8.2,Tablet,Horror,1,1,12.5,0,0,Paid Social,SummerSale2023,21.1,0.058,1621,54.0,1555,35.6,199.0,10752.63,No
CUST100058,2024-07-10,2025-01-28,46,Male,India,Standard,499.0,Monthly,UPI,37.2,9.0,Smart TV,Horror,1,1,10.1,0,0,Search Ads,Launch2020,44.6,0.027,510,17.0,308,39.1,499.0,8483.0,No
CUST100059,2020-03-29,2022-01-19,66,Male,Canada,Basic,199.0,Quarterly,GooglePay,36.1,12.4,Mobile,Drama,1,0,0.0,0,0,Search Ads,RetentionPush2024,48.0,0.101,2074,69.1,1413,53.9,199.0,13757.53,Yes
CUST100060,2024-02-03,2025-05-02,16,Male,India,Premium,799.0,Yearly,ApplePay,43.7,4.0,Web,Action,1,1,2.0,0,0,Paid Social,Festive2021,28.4,0.174,668,22.3,214,17.4,799.0,17791.07,No
CUST100061,2022-07-29,2022-12-07,27,Male,USA,Standard,499.0,Monthly,ApplePay,14.6,3.6,Smart TV,Drama,3,1,21.2,0,0,Affiliate,SummerSale2023,41.1,0.688,1222,40.7,1091,15.6,499.0,20325.93,No
CUST100062,2023-01-03,2023-04-07,54,Female,Australia,Premium,799.0,Monthly,Card,22.0,5.5,Smart TV,Documentary,1,0,0.0,0,0,Paid Social,SummerSale2023,44.6,0.194,1064,35.5,970,23.9,799.0,28337.87,No
CUST100063,2020-09-12,2021-08-17,19,Male,Canada,Premium,799.0,Monthly,Card,27.2,8.8,Mobile,Sci-Fi,1,1,23.6,0,0,Paid Social,NewSeries2022,24.6,0.297,1907,63.6,1568,38.2,799.0,50789.77,No
CUST100064,2022-02-14,2022-06-19,57,Male,Canada,Standard,499.0,Monthly,Paypal,44.4,13.0,Mobile,Drama,1,1,6.7,1,1,Organic,Festive2021,48.1,0.229,1387,46.2,1262,56.5,499.0,23070.43,No
CUST100065,2020-06-10,2020-07-23,28,Female,India,Premium,799.0,Monthly,Paypal,4.4,7.4,Mobile,Action,2,0,0.0,0,0,Search Ads,Direct,7.3,0.097,2001,66.7,1958,32.2,799.0,53293.3,No
CUST100066,2023-02-04,2024-05-21,49,Male,USA,Free Trial,0.0,Quarterly,GooglePay,38.1,4.4,Smart TV,Sci-Fi,1,0,0.0,0,0,Organic,Festive2021,6.8,0.042,1032,34.4,560,19.1,0.0,0.0,Yes
CUST100067,2021-08-23,2021-10-13,57,Female,India,Standard,499.0,Monthly,ApplePay,50.6,3.6,Mobile,Romance,1,1,1.2,0,0,Organic,Festive2021,35.1,0.066,1562,52.1,1511,15.6,499.0,25981.27,No
CUST100068,2024-08-25,2025-02-13,36,Male,Australia,Standard,499.0,Yearly,NetBanking,36.0,5.3,Mobile,Drama,1,0,0.0,0,0,Paid Social,NewSeries2022,65.0,0.418,464,15.5,292,23.0,499.0,7717.87,Yes
CUST100069,2023-07-11,2025-02-17,37,Other,UK,Premium,799.0,Quarterly,Paypal,36.5,7.7,Mobile,Action,1,1,8.7,0,0,Paid Social,Direct,37.8,0.034,875,29.2,288,33.5,799.0,23304.17,Yes
CUST100070,2023-06-20,2024-09-05,72,Female,Australia,Premium,799.0,Yearly,ApplePay,28.9,9.1,Mobile,Sci-Fi,1,0,0.0,0,0,Organic,SummerSale2023,33.9,0.021,896,29.9,453,39.5,799.0,23863.47,Yes
CUST100071,2024-12-18,2025-11-30,19,Male,India,Basic,199.0,Monthly,Paypal,36.2,7.7,Mobile,Action,1,1,7.6,0,0,Referral,SummerSale2023,1.7,0.384,349,11.6,2,33.5,199.0,2315.03,Yes
CUST100072,2024-10-30,2025-11-30,33,Male,India,Standard,499.0,Monthly,UPI,26.2,4.8,Mobile,Kids,1,1,0.2,0,0,Referral,Launch2020,62.8,0.159,398,13.3,2,20.9,499.0,6620.07,No
CUST100073,2022-01-10,2022-02-09,20,Female,India,Standard,499.0,Yearly,Card,31.7,3.1,Web,Romance,1,1,8.5,1,0,Email,SummerSale2023,58.6,0.229,1422,47.4,1392,13.5,499.0,23652.6,No
CUST100074,2023-03-28,2024-04-22,34,Female,India,Standard,499.0,Quarterly,ApplePay,26.2,9.0,Smart TV,Kids,1,0,0.0,0,0,Email,Direct,2.8,0.35,980,32.7,589,39.1,499.0,16300.67,No
CUST100075,2021-01-28,2022-12-28,17,Female,India,Basic,199.0,Yearly,Paypal,31.4,5.3,Smart TV,Documentary,2,1,10.0,1,0,Organic,Festive2021,66.3,0.083,1769,59.0,1070,23.0,199.0,11734.37,Yes
CUST100076,2023-12-13,2025-02-21,27,Female,Brazil,Free Trial,0.0,Monthly,Card,28.6,5.6,Mobile,Drama,3,0,0.0,0,0,Paid Social,NewSeries2022,21.5,0.277,720,24.0,284,24.3,0.0,0.0,Yes
CUST100077,2020-05-22,2020-11-14,32,Male,Philippines,Premium,799.0,Monthly,NetBanking,11.4,4.0,Mobile,Romance,3,1,57.2,0,0,Search Ads,Direct,40.9,0.199,2020,67.3,1844,17.4,799.0,53799.33,No
CUST100078,2020-04-03,2021-03-31,25,Male,UK,Standard,499.0,Quarterly,Paypal,4.9,2.3,Mobile,Sci-Fi,1,0,0.0,0,0,Affiliate,Direct,79.9,0.005,2069,69.0,1707,10.0,499.0,34414.37,No
CUST100079,2023-09-16,2024-04-22,49,Male,USA,Premium,799.0,Monthly,ApplePay,36.6,11.9,Mobile,Sci-Fi,2,1,20.6,1,0,Organic,Direct,6.9,0.255,808,26.9,589,51.7,799.0,21519.73,No
CUST100080,2021-04-11,2021-10-19,21,Female,India,Free Trial,0.0,Monthly,UPI,47.1,5.0,Tablet,Documentary,2,0,0.0,0,0,Paid Social,Launch2020,38.6,0.084,1696,56.5,1505,21.7,0.0,0.0,No
CUST100081,2024-05-02,2025-02-07,23,Female,Mexico,Basic,199.0,Monthly,Card,66.1,1.1,Mobile,Action,1,0,0.0,0,0,Email,SummerSale2023,18.8,0.047,579,19.3,298,4.8,199.0,3840.7,Yes
CUST100082,2021-08-15,2022-05-28,66,Male,India,Standard,499.0,Monthly,Card,57.0,7.5,Web,Comedy,1,1,3.0,0,0,Paid Social,NewSeries2022,0.5,0.649,1570,52.3,1284,32.6,499.0,26114.33,No
CUST100083,2020-06-12,2021-09-11,26,Male,Philippines,Standard,499.0,Monthly,UPI,53.1,6.6,Mobile,Drama,1,1,4.9,0,0,Paid Social,RetentionPush2024,24.7,0.294,1999,66.6,1543,28.7,499.0,33250.03,No
CUST100084,2024-10-17,2025-03-18,72,Male,USA,Premium,799.0,Monthly,ApplePay,39.6,1.4,Web,Horror,4,0,0.0,0,0,Search Ads,SummerSale2023,5.7,0.005,411,13.7,259,6.1,799.0,10946.3,Yes
CUST100085,2021-04-21,2021-05-26,27,Male,India,Basic,199.0,Monthly,GooglePay,37.4,10.4,Mobile,Drama,1,0,0.0,0,0,Paid Social,NewSeries2022,38.9,0.285,1686,56.2,1651,45.2,199.0,11183.8,No
CUST100086,2024-11-09,2025-11-30,24,Female,Philippines,Free Trial,0.0,Quarterly,NetBanking,19.2,9.0,Web,Comedy,1,1,6.9,0,0,Referral,Festive2021,69.8,0.38,388,12.9,2,39.1,0.0,0.0,No
CUST100087,2020-07-25,2022-04-20,17,Female,India,Standard,499.0,Monthly,GooglePay,17.0,9.5,Mobile,Romance,2,1,2.5,0,0,Organic,Direct,37.1,0.088,1956,65.2,1322,41.3,499.0,32534.8,No
CUST100088,2022-02-17,2023-11-10,23,Female,UK,Standard,499.0,Monthly,UPI,38.8,7.8,Mobile,Romance,2,1,0.6,0,0,Organic,Direct,7.8,0.079,1384,46.1,753,33.9,499.0,23020.53,No
CUST100089,2021-07-23,2022-03-31,73,Male,UK,Standard,499.0,Yearly,NetBanking,18.3,3.1,Tablet,Romance,1,0,0.0,0,0,Paid Social,RetentionPush2024,8.5,0.11,1593,53.1,1342,13.5,499.0,26496.9,No
CUST100090,2022-07-17,2024-05-09,26,Male,India,Basic,199.0,Monthly,ApplePay,33.2,6.8,Mobile,Romance,2,1,14.7,0,0,Email,Launch2020,52.1,0.126,1234,41.1,572,29.5,199.0,8185.53,Yes
CUST100091,2023-07-25,2024-05-22,68,Female,USA,Premium,799.0,Monthly,Paypal,15.0,5.6,Web,Documentary,1,1,11.2,1,1,Paid Social,Launch2020,69.3,0.096,861,28.7,559,24.3,799.0,22931.3,Yes
CUST100092,2024-09-04,2025-11-30,51,Female,Canada,Free Trial,0.0,Quarterly,Paypal,44.3,5.0,Mobile,Drama,4,0,0.0,0,0,Email,Festive2021,52.4,0.141,454,15.1,2,21.7,0.0,0.0,No
CUST100093,2022-01-17,2023-03-14,25,Female,Germany,Standard,499.0,Yearly,GooglePay,14.3,11.9,Mobile,Sci-Fi,1,1,43.3,0,0,Affiliate,NewSeries2022,0.5,0.719,1415,47.2,994,51.7,499.0,23536.17,No
CUST100094,2020-11-29,2022-06-15,36,Female,India,Free Trial,0.0,Monthly,ApplePay,6.4,4.0,Mobile,Horror,1,1,0.3,0,0,Referral,RetentionPush2024,11.4,0.007,1829,61.0,1266,17.4,0.0,0.0,Yes
CUST100095,2022-01-28,2023-06-02,35,Female,Philippines,Premium,799.0,Monthly,NetBanking,49.4,5.6,Smart TV,Action,1,0,0.0,0,0,Paid Social,SummerSale2023,48.0,0.81,1404,46.8,914,24.3,799.0,37393.2,No
CUST100096,2021-12-28,2022-02-28,63,Female,India,Standard,499.0,Quarterly,GooglePay,54.3,7.1,Smart TV,Documentary,2,0,0.0,0,0,Paid Social,Festive2021,98.8,0.379,1435,47.8,1373,30.8,499.0,23868.83,Yes
CUST100097,2021-03-05,2021-06-02,23,Male,India,Premium,799.0,Monthly,UPI,33.3,8.2,Mobile,Action,3,0,0.0,1,1,Search Ads,Direct,0.5,0.319,1733,57.8,1644,35.6,799.0,46155.57,Yes
CUST100098,2023-10-04,2024-07-16,51,Male,India,Standard,499.0,Quarterly,GooglePay,20.7,12.1,Smart TV,Kids,1,1,16.8,0,0,Organic,Direct,60.4,0.12,790,26.3,504,52.6,499.0,13140.33,No
CUST100099,2021-06-30,2022-07-27,44,Male,India,Standard,499.0,Yearly,ApplePay,49.4,6.5,Mobile,Romance,1,1,3.1,0,0,Paid Social,Festive2021,20.3,0.016,1616,53.9,1224,28.2,499.0,26879.47,No
CUST100100,2023-12-08,2024-04-26,57,Male,India,Basic,199.0,Yearly,ApplePay,19.6,7.9,Tablet,Comedy,1,1,14.8,0,0,Referral,Festive2021,29.0,0.193,725,24.2,585,34.3,199.0,4809.17,No
CUST100101,2023-10-31,2025-01-02,27,Female,South Africa,Premium,799.0,Monthly,Paypal,31.8,3.4,Mobile,Action,1,0,0.0,0,0,Organic,Festive2021,35.9,0.449,763,25.4,334,14.8,799.0,20321.23,No
CUST100102,2023-08-20,2024-03-11,29,Male,India,Basic,199.0,Monthly,UPI,62.0,8.7,Mobile,Kids,2,1,33.9,0,0,Referral,SummerSale2023,63.0,0.111,835,27.8,631,37.8,199.0,5538.83,No
CUST100103,2020-05-26,2022-03-15,63,Female,India,Premium,799.0,Yearly,Paypal,42.5,12.8,Mobile,Sci-Fi,1,1,2.3,0,0,Search Ads,Festive2021,46.7,0.014,2016,67.2,1358,55.6,799.0,53692.8,Yes
CUST100104,2023-06-01,2024-11-20,69,Female,India,Premium,799.0,Monthly,NetBanking,34.1,5.7,Tablet,Comedy,1,0,0.0,0,0,Search Ads,Launch2020,26.8,0.001,915,30.5,377,24.8,799.0,24369.5,No
CUST100105,2023-07-24,2024-04-04,65,Male,Australia,Basic,199.0,Monthly,NetBanking,29.5,9.4,Mobile,Romance,3,1,18.8,1,1,Search Ads,Launch2020,27.1,0.025,862,28.7,607,40.8,199.0,5717.93,Yes
CUST100106,2020-12-16,2022-09-22,36,Male,Mexico,Standard,499.0,Quarterly,Card,35.9,2.8,Mobile,Comedy,1,0,0.0,0,0,Search Ads,Direct,41.3,0.186,1812,60.4,1167,12.2,499.0,30139.6,No
CUST100107,2022-12-29,2024-07-07,37,Female,India,Standard,499.0,Monthly,ApplePay,40.3,6.0,Smart TV,Drama,1,1,5.9,0,0,Search Ads,Festive2021,39.9,0.94,1069,35.6,513,26.1,499.0,17781.03,No
CUST100108,2024-02-02,2024-02-21,36,Male,India,Standard,499.0,Monthly,UPI,12.5,6.1,Tablet,Romance,1,1,1.3,0,0,Referral,Direct,15.8,0.249,669,22.3,650,26.5,499.0,11127.7,No
CUST100109,2021-05-16,2022-06-11,59,Male,India,Standard,499.0,Yearly,UPI,59.2,8.1,Mobile,Kids,3,1,11.0,0,0,Paid Social,NewSeries2022,61.9,0.034,1661,55.4,1270,35.2,499.0,27627.97,Yes
CUST100110,2020-11-30,2021-12-02,65,Male,India,Standard,499.0,Monthly,Paypal,25.8,6.6,Mobile,Documentary,1,1,38.8,1,1,Referral,Launch2020,83.8,0.397,1828,60.9,1461,28.7,499.0,30405.73,Yes
CUST100111,2022-08-04,2023-12-08,45,Male,India,Standard,499.0,Monthly,GooglePay,30.9,10.4,Smart TV,Kids,1,1,1.0,0,0,Organic,RetentionPush2024,51.1,0.216,1216,40.5,725,45.2,499.0,20226.13,No
